,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
T0_N0000_r1,8.82753,9.31051,7.72752,12.0584,11.859,12.7327,11.8344,8.25681,8.49136,8.25041,8.20869,8.65413,9.55844,7.81435,9.33442,8.65463
T0_N0000_r2,8.97139,9.40744,7.57657,12.1704,11.9433,12.8257,12.051,8.43676,8.46186,8.37599,8.10753,8.63653,9.49424,7.8103,9.29562,8.44588
T0_N0000_r3,8.9465,9.65264,7.64208,12.1537,11.8098,12.7352,11.8102,8.44961,8.448,8.38036,8.25595,8.67219,9.44176,7.85241,9.55961,8.66956
T12_N10000_r1,8.23982,8.76285,7.85212,11.3608,11.3496,12.4151,11.5599,8.13685,8.40829,8.48743,8.24372,8.30925,8.86119,7.5997,8.40174,7.81912
T12_N10000_r2,8.33475,8.99648,7.86849,11.4972,11.5204,12.4857,11.759,8.25277,8.10228,8.47852,8.38323,8.08411,8.78559,7.3715,8.01952,7.5847
T12_N10000_r3,8.49563,9.18808,8.20742,11.2974,11.3803,12.3338,11.6137,8.16523,8.68499,8.61665,8.29879,8.23199,8.976,7.80029,8.57296,7.97668
T24_N10000_r1,8.9716,9.62529,7.79639,11.4222,11.4009,12.2428,11.5674,8.8513,8.35034,8.4144,8.53374,8.6083,8.83126,7.62172,8.51821,7.82453
T24_N10000_r2,8.38181,9.34241,8.04511,11.5081,11.5477,12.2648,11.7379,8.73462,8.33945,8.35812,8.61171,8.91104,9.0105,7.42492,8.51494,8.06912
T24_N10000_r3,8.38253,9.31402,8.05284,11.3691,11.3313,12.0465,11.5275,8.65797,8.38022,8.54363,8.49713,8.73279,8.91857,7.69861,8.64526,7.85338
T24_N0000_r1,11.986,12.1171,8.57412,11.5539,11.3153,12.6254,11.3481,8.95673,8.77935,8.92567,9.31222,9.91356,9.1925,7.80314,9.01857,8.81357
T24_N0000_r2,11.948,12.2354,8.751,11.7722,11.3138,12.5495,11.5395,8.54899,8.70047,9.05122,9.06745,9.60125,8.93553,7.64043,8.4716,8.89235
T24_N0000_r3,11.8936,12.0888,8.59017,11.6067,11.3702,12.7036,11.485,8.89753,8.85343,8.91601,9.12324,9.87191,9.14892,8.04472,9.17312,8.75102
T36_N10000_r1,8.586,9.68346,7.75339,11.2424,11.145,12.0659,11.4539,8.81312,8.31365,8.44046,8.29751,8.40742,8.87576,7.57532,8.43527,8.02996
T36_N10000_r2,8.69774,9.93169,7.91672,11.2201,11.2665,12.1322,11.5447,8.81947,8.08936,8.70774,8.52695,8.56262,8.7898,7.66415,8.61841,8.25267
T36_N10000_r3,8.61319,9.4361,7.79002,11.3544,11.2816,12.1491,11.4932,8.63871,8.3729,8.48259,8.37392,8.56357,8.88236,7.33572,8.46843,8.21876
T48_N10000_r1,8.53307,9.67438,8.10787,11.0416,10.9189,11.9722,11.3649,8.57081,8.24819,8.77736,8.36535,8.29282,8.87331,7.82577,8.47455,8.37974
T48_N10000_r2,8.83793,10.015,8.1465,10.9555,11.2389,12.3014,11.5566,8.89561,8.20284,8.77577,8.3637,8.33959,8.76655,7.59061,8.3718,8.34817
T48_N10000_r3,8.72976,9.77511,7.96624,10.6714,11.0581,12.073,11.3355,8.85477,8.36509,8.51474,8.28092,8.25776,8.82164,7.62264,8.09286,8.42231
T60_N10000_r1,10.2867,10.9506,8.275,10.8973,10.8298,12.0258,11.1527,8.75563,8.22717,8.80036,8.56817,8.41362,8.636,7.76678,8.44752,8.57323
T60_N10000_r2,9.53382,10.4038,8.07518,10.7671,10.9132,12.0758,11.1805,8.7667,8.32198,8.74218,8.54145,8.3025,8.81679,7.56341,8.25081,8.54873
T60_N10000_r3,9.03758,10.1543,8.12507,10.5496,10.807,12.0114,11.2263,8.68843,8.3539,8.73377,8.43656,8.25171,8.926,7.56973,8.37186,8.48265
T60_N0000_r1,13.1915,13.1441,9.34666,11.6934,11.1611,12.8402,11.0259,8.79717,8.67694,8.97587,9.24201,10.0797,9.08779,7.7446,9.05939,9.18899
T60_N0000_r2,12.8125,12.9011,8.87365,11.5698,11.0105,12.6235,11.0001,8.75566,8.74022,9.02424,8.93007,10.0432,8.8553,7.81476,9.48598,8.7017
T60_N0000_r3,13.0723,12.9669,9.14475,11.6206,11.0606,12.6787,11.0532,8.7503,8.39559,9.12346,9.04428,10.0537,8.97103,7.73356,9.05806,8.89888
ccdB_K12_t0_r1,8.21234,8.82019,7.77405,12.2492,11.3085,12.4461,11.3555,8.10151,8.66757,8.69979,8.83404,9.49673,9.13199,7.65797,8.21333,9.03042
ccdB_K12_t30_r1,7.36321,7.65619,7.72099,11.5606,11.5947,12.6713,11.5597,8.01418,8.4832,8.55334,8.37364,8.82575,9.23264,8.14679,8.57754,8.83622
ccdB_K12_t60_r1,7.34448,7.57568,7.7102,11.7604,11.0079,12.3083,11.1405,7.77738,8.33196,8.50206,8.31504,8.90813,9.31831,7.81921,8.48836,8.89757
ccdB_K12_t90_r1,7.64377,7.70189,7.71111,11.9373,10.5979,11.8804,10.7677,7.71324,8.3873,8.65602,8.25116,8.70571,9.24209,8.06394,8.4184,8.95582
ccdB_K12_t120_r1,7.47055,8.09856,7.55265,12.2435,10.5149,11.7364,10.638,7.86761,8.28531,8.55003,8.21582,8.38728,9.20249,8.52662,8.72725,9.05621
lacZ_K12_t0_r1,8.36873,8.40437,7.59844,12.0786,11.3895,12.4623,11.6186,8.12849,8.5795,8.47162,8.66409,9.22614,9.31916,7.48744,8.19282,8.78918
